repository,stars,created_at,age_days,age_years
codecrafters-io/build-your-own-x,539096,2018-05-09T12:03:18Z,3017,8.26
sindresorhus/awesome,494943,2014-07-11T13:42:37Z,4415,12.09
public-apis/public-apis,455689,2016-03-20T23:49:42Z,3796,10.39
freeCodeCamp/freeCodeCamp,453895,2014-12-24T17:49:19Z,4249,11.63
EbookFoundation/free-programming-books,394251,2013-10-11T06:50:37Z,4688,12.84
openclaw/openclaw,386073,2025-11-24T10:16:47Z,261,0.71
nilbuild/developer-roadmap,364259,2017-03-15T13:45:52Z,3437,9.41
donnemartin/system-design-primer,363447,2017-02-26T16:15:28Z,3454,9.46
jwasham/coding-interview-university,358524,2016-06-06T02:34:12Z,3719,10.18
vinta/awesome-python,313604,2014-06-27T21:00:06Z,4428,12.12
awesome-selfhosted/awesome-selfhosted,312240,2015-06-01T02:33:17Z,4090,11.2
practical-tutorials/project-based-learning,278834,2017-04-12T05:07:46Z,3409,9.33
996icu/996.ICU,276622,2019-03-26T07:31:14Z,2696,7.38
obra/superpowers,271214,2025-10-09T19:45:18Z,307,0.84
react/react,247202,2013-05-24T16:15:54Z,4828,13.22
torvalds/linux,242624,2011-09-04T22:48:12Z,5455,14.93
affaan-m/ECC,239732,2026-01-18T00:51:51Z,206,0.56
trimstray/the-book-of-secret-knowledge,238012,2018-06-23T10:43:14Z,2972,8.14
NousResearch/hermes-agent,229518,2025-07-22T22:22:28Z,385,1.05
TheAlgorithms/Python,223681,2016-07-16T09:44:01Z,3679,10.07
mattpocock/skills,214959,2026-02-03T11:15:53Z,190,0.52
vuejs/vue,210234,2013-07-29T03:24:51Z,4762,13.04
ossu/computer-science,207930,2014-05-04T00:18:39Z,4483,12.27
multica-ai/andrej-karpathy-skills,201864,2026-01-27T03:53:13Z,197,0.54
n8n-io/n8n,200376,2019-06-22T09:24:21Z,2608,7.14
tensorflow/tensorflow,196979,2015-11-07T01:19:20Z,3931,10.76
anomalyco/opencode,196545,2025-04-30T20:08:00Z,469,1.28
trekhleb/javascript-algorithms,196448,2018-03-24T07:47:04Z,3063,8.39
ultraworkers/claw-code,195066,2026-03-31T08:58:08Z,134,0.37
DigitalPlatDev/FreeDomain,192495,2024-05-30T13:23:00Z,804,2.2
ohmyzsh/ohmyzsh,189139,2009-08-28T18:15:37Z,6193,16.96
microsoft/vscode,188634,2015-09-03T20:23:38Z,3996,10.94
massgravel/Microsoft-Activation-Scripts,186823,2020-01-12T23:03:34Z,2403,6.58
Significant-Gravitas/AutoGPT,186559,2023-03-16T09:21:07Z,1245,3.41
jackfrued/Python-100-Days,185142,2018-03-01T16:05:52Z,3086,8.45
CyC2018/CS-Notes,185034,2018-02-13T14:56:24Z,3102,8.49
getify/You-Dont-Know-JS,184648,2013-11-16T02:37:24Z,4652,12.74
yt-dlp/yt-dlp,184081,2020-10-26T04:22:55Z,2116,5.79
avelino/awesome-go,180898,2014-07-06T13:42:15Z,4420,12.1
flutter/flutter,178365,2015-03-06T22:54:58Z,4176,11.43
ollama/ollama,178363,2023-06-26T19:39:32Z,1143,3.13
github/gitignore,175266,2010-11-08T20:17:14Z,5756,15.76
twbs/bootstrap,174585,2011-07-29T21:19:00Z,5492,15.04
microsoft/markitdown,173365,2024-11-13T19:56:40Z,637,1.74
521xueweihan/HelloGitHub,170544,2016-05-04T06:24:11Z,3752,10.27
anthropics/skills,168508,2025-09-22T15:53:31Z,324,0.89
f/prompts.chat,167059,2022-12-05T13:54:13Z,1346,3.69
firecrawl/firecrawl,166388,2024-04-15T21:02:29Z,848,2.32
AUTOMATIC1111/stable-diffusion-webui,164498,2022-08-22T14:05:26Z,1451,3.97
huggingface/transformers,164010,2018-10-29T13:56:00Z,2844,7.79
jlevy/the-art-of-command-line,162091,2015-05-20T15:11:03Z,4102,11.23
Snailclimb/JavaGuide,157730,2018-05-07T13:27:00Z,3019,8.27
langflow-ai/langflow,153105,2023-02-08T22:28:03Z,1280,3.5
langgenius/dify,152237,2023-04-12T07:40:24Z,1218,3.33
open-webui/open-webui,148606,2023-10-06T22:08:27Z,1040,2.85
airbnb/javascript,148132,2012-11-01T23:13:50Z,5031,13.77
Genymobile/scrcpy,147505,2017-11-21T18:00:27Z,3186,8.72
msitarzewski/agency-agents,144478,2025-10-13T12:12:29Z,303,0.83
langchain-ai/langchain,144091,2022-10-17T02:58:36Z,1395,3.82
