repository,stars,total_accepted_pull_requests
codecrafters-io/build-your-own-x,539096,157
sindresorhus/awesome,494943,700
public-apis/public-apis,455689,2119
freeCodeCamp/freeCodeCamp,453895,29074
EbookFoundation/free-programming-books,394251,7417
openclaw/openclaw,386073,24315
nilbuild/developer-roadmap,364259,4387
donnemartin/system-design-primer,363447,210
jwasham/coding-interview-university,358524,415
vinta/awesome-python,313604,738
awesome-selfhosted/awesome-selfhosted,312240,0
practical-tutorials/project-based-learning,278834,194
996icu/996.ICU,276622,1071
obra/superpowers,271214,166
react/react,247202,13031
torvalds/linux,242624,0
affaan-m/ECC,239732,987
trimstray/the-book-of-secret-knowledge,238012,122
NousResearch/hermes-agent,229518,10351
TheAlgorithms/Python,223680,3088
mattpocock/skills,214961,85
vuejs/vue,210234,1136
ossu/computer-science,207930,315
multica-ai/andrej-karpathy-skills,201865,12
n8n-io/n8n,200376,19832
tensorflow/tensorflow,196979,48816
anomalyco/opencode,196546,7045
trekhleb/javascript-algorithms,196448,309
ultraworkers/claw-code,195066,141
DigitalPlatDev/FreeDomain,192496,0
ohmyzsh/ohmyzsh,189139,3650
microsoft/vscode,188634,51761
massgravel/Microsoft-Activation-Scripts,186823,7
Significant-Gravitas/AutoGPT,186559,4742
jackfrued/Python-100-Days,185142,13
CyC2018/CS-Notes,185034,374
getify/You-Dont-Know-JS,184648,370
yt-dlp/yt-dlp,184081,3387
avelino/awesome-go,180898,3860
flutter/flutter,178365,49509
ollama/ollama,178363,3512
github/gitignore,175266,1779
twbs/bootstrap,174585,9481
microsoft/markitdown,173365,183
521xueweihan/HelloGitHub,170544,17
anthropics/skills,168508,46
f/prompts.chat,167060,237
firecrawl/firecrawl,166389,1919
AUTOMATIC1111/stable-diffusion-webui,164498,1875
huggingface/transformers,164010,20146
jlevy/the-art-of-command-line,162091,317
Snailclimb/JavaGuide,157730,1268
langflow-ai/langflow,153105,7221
langgenius/dify,152237,13230
open-webui/open-webui,148606,4025
airbnb/javascript,148132,822
Genymobile/scrcpy,147505,153
msitarzewski/agency-agents,144478,222
langchain-ai/langchain,144091,17223
x1xhlol/system-prompts-and-models-of-ai-tools,142754,52
yangshun/tech-interview-handbook,141809,494
vercel/next.js,141744,28127
anthropics/claude-code,141218,161
ytdl-org/youtube-dl,140943,1646
microsoft/PowerToys,137697,6974
clash-verge-rev/clash-verge-rev,137389,1004
golang/go,135734,1
iptv-org/iptv,135720,6981
labuladong/fucking-algorithm,135319,244
Shubhamsaboo/awesome-llm-apps,132316,237
ripienaar/free-for-dev,131572,3073
excalidraw/excalidraw,129443,3959
krahets/hello-algo,129381,994
Chalarangelo/30-seconds-of-code,128695,855
garrytan/gstack,127696,298
Comfy-Org/ComfyUI,127065,3123
farion1231/cc-switch,126715,438
github/spec-kit,126415,1352
react/react-native,126333,999
kubernetes/kubernetes,124463,65645
ggml-org/llama.cpp,123680,9642
electron/electron,122475,26490
shadcn-ui/ui,121187,1427
rustdesk/rustdesk,120224,4197
nodejs/node,118900,13142
justjavac/free-programming-books-zh_CN,118306,300
Hack-with-Github/Awesome-Hacking,118107,41
microsoft/generative-ai-for-beginners,117610,601
nextlevelbuilder/ui-ux-pro-max-skill,116088,137
godotengine/godot,115613,43305
rust-lang/rust,115462,73395
mrdoob/three.js,114466,15955
2dust/v2rayN,113666,593
d3/d3,113450,495
jaywcjlove/awesome-mac,110801,1239
immich-app/immich,110305,9985
microsoft/TypeScript,110163,14893
tauri-apps/tauri,110152,5660
axios/axios,109233,1479
browser-use/browser-use,108957,1888
