repository,stars,total_releases
codecrafters-io/build-your-own-x,538848,0
sindresorhus/awesome,494657,0
public-apis/public-apis,455523,0
freeCodeCamp/freeCodeCamp,453834,0
EbookFoundation/free-programming-books,394177,0
openclaw/openclaw,385978,233
nilbuild/developer-roadmap,364182,1
donnemartin/system-design-primer,363243,0
jwasham/coding-interview-university,358409,0
vinta/awesome-python,313470,0
awesome-selfhosted/awesome-selfhosted,312084,1
practical-tutorials/project-based-learning,278509,0
996icu/996.ICU,276618,0
obra/superpowers,270792,11
react/react,247170,132
torvalds/linux,242531,0
affaan-m/ECC,239502,15
trimstray/the-book-of-secret-knowledge,237876,0
NousResearch/hermes-agent,229078,24
TheAlgorithms/Python,223665,0
mattpocock/skills,213923,7
vuejs/vue,210228,249
ossu/computer-science,207896,0
multica-ai/andrej-karpathy-skills,201626,0
n8n-io/n8n,200275,755
tensorflow/tensorflow,196955,222
trekhleb/javascript-algorithms,196440,0
anomalyco/opencode,196266,858
ultraworkers/claw-code,195050,0
DigitalPlatDev/FreeDomain,192279,0
ohmyzsh/ohmyzsh,189118,0
microsoft/vscode,188609,232
massgravel/Microsoft-Activation-Scripts,186739,31
Significant-Gravitas/AutoGPT,186533,116
jackfrued/Python-100-Days,185113,0
CyC2018/CS-Notes,185026,0
getify/You-Dont-Know-JS,184645,0
yt-dlp/yt-dlp,183942,135
avelino/awesome-go,180820,0
flutter/flutter,178331,7
ollama/ollama,178302,240
github/gitignore,175248,0
twbs/bootstrap,174570,94
microsoft/markitdown,173195,20
521xueweihan/HelloGitHub,170396,68
anthropics/skills,168185,0
f/prompts.chat,167010,0
firecrawl/firecrawl,165923,35
AUTOMATIC1111/stable-diffusion-webui,164484,27
huggingface/transformers,163834,268
jlevy/the-art-of-command-line,162078,0
Snailclimb/JavaGuide,157705,0
langflow-ai/langflow,153071,303
langgenius/dify,152136,168
open-webui/open-webui,148516,167
airbnb/javascript,148129,0
Genymobile/scrcpy,147459,52
langchain-ai/langchain,144015,1000
msitarzewski/agency-agents,143385,0
x1xhlol/system-prompts-and-models-of-ai-tools,142740,0
yangshun/tech-interview-handbook,141783,0
vercel/next.js,141728,1000
anthropics/claude-code,141102,185
ytdl-org/youtube-dl,140934,341
microsoft/PowerToys,137673,135
clash-verge-rev/clash-verge-rev,137206,67
golang/go,135720,0
iptv-org/iptv,135674,0
labuladong/fucking-algorithm,135307,0
Shubhamsaboo/awesome-llm-apps,132181,0
ripienaar/free-for-dev,131516,0
excalidraw/excalidraw,129370,15
krahets/hello-algo,129360,10
Chalarangelo/30-seconds-of-code,128680,12
garrytan/gstack,127595,0
Comfy-Org/ComfyUI,126843,152
farion1231/cc-switch,126499,50
react/react-native,126326,471
github/spec-kit,126286,210
kubernetes/kubernetes,124440,810
ggml-org/llama.cpp,123506,1000
electron/electron,122454,1000
shadcn-ui/ui,121101,116
rustdesk/rustdesk,120135,39
nodejs/node,118876,512
justjavac/free-programming-books-zh_CN,118292,3
Hack-with-Github/Awesome-Hacking,118031,0
microsoft/generative-ai-for-beginners,117533,0
nextlevelbuilder/ui-ux-pro-max-skill,115726,39
godotengine/godot,115562,71
rust-lang/rust,115447,153
mrdoob/three.js,114444,177
2dust/v2rayN,113605,332
d3/d3,113436,194
jaywcjlove/awesome-mac,110517,15
immich-app/immich,110240,305
microsoft/TypeScript,110142,217
tauri-apps/tauri,110125,0
axios/axios,109222,123
browser-use/browser-use,108841,134
