repository,stars,pushed_at,days_since_last_update
codecrafters-io/build-your-own-x,538848,2026-07-14T19:25:58Z,28
sindresorhus/awesome,494654,2026-06-30T18:21:16Z,42
public-apis/public-apis,455522,2026-08-11T20:30:55Z,0
freeCodeCamp/freeCodeCamp,453833,2026-08-11T21:18:39Z,0
EbookFoundation/free-programming-books,394177,2026-08-11T12:11:06Z,0
openclaw/openclaw,385977,2026-08-12T02:33:24Z,0
nilbuild/developer-roadmap,364182,2026-08-07T12:43:15Z,4
donnemartin/system-design-primer,363241,2026-03-20T01:52:19Z,145
jwasham/coding-interview-university,358409,2025-08-28T14:42:47Z,348
vinta/awesome-python,313470,2026-08-05T06:11:04Z,6
awesome-selfhosted/awesome-selfhosted,312081,2026-08-10T20:53:03Z,1
practical-tutorials/project-based-learning,278507,2026-08-10T07:04:22Z,1
996icu/996.ICU,276618,2025-08-22T06:01:29Z,354
obra/superpowers,270791,2026-08-08T01:45:49Z,4
react/react,247170,2026-08-12T01:57:13Z,0
torvalds/linux,242531,2026-08-11T15:08:38Z,0
affaan-m/ECC,239500,2026-08-11T23:36:48Z,0
trimstray/the-book-of-secret-knowledge,237874,2024-11-19T14:00:38Z,630
NousResearch/hermes-agent,229073,2026-08-12T02:30:33Z,0
TheAlgorithms/Python,223665,2026-08-03T18:44:56Z,8
mattpocock/skills,213918,2026-08-07T15:50:46Z,4
vuejs/vue,210228,2024-10-10T07:24:15Z,670
ossu/computer-science,207896,2026-07-14T05:38:25Z,28
multica-ai/andrej-karpathy-skills,201626,2026-04-20T10:05:04Z,113
n8n-io/n8n,200275,2026-08-11T23:27:41Z,0
tensorflow/tensorflow,196955,2026-08-12T02:27:46Z,0
trekhleb/javascript-algorithms,196440,2026-07-26T02:43:08Z,16
anomalyco/opencode,196265,2026-08-12T02:23:55Z,0
ultraworkers/claw-code,195049,2026-08-06T11:18:35Z,5
DigitalPlatDev/FreeDomain,192279,2026-07-16T15:38:52Z,26
ohmyzsh/ohmyzsh,189118,2026-08-11T11:03:43Z,0
microsoft/vscode,188609,2026-08-12T02:22:54Z,0
massgravel/Microsoft-Activation-Scripts,186739,2026-07-04T16:54:38Z,38
Significant-Gravitas/AutoGPT,186531,2026-08-12T02:22:12Z,0
jackfrued/Python-100-Days,185113,2026-07-29T15:18:29Z,13
CyC2018/CS-Notes,185026,2024-08-21T09:40:10Z,720
getify/You-Dont-Know-JS,184645,2026-02-15T04:36:44Z,177
yt-dlp/yt-dlp,183941,2026-08-04T22:58:34Z,7
avelino/awesome-go,180818,2026-08-11T21:38:50Z,0
flutter/flutter,178331,2026-08-12T02:25:46Z,0
ollama/ollama,178302,2026-08-11T23:42:53Z,0
github/gitignore,175248,2026-07-23T16:06:45Z,19
twbs/bootstrap,174570,2026-08-11T21:48:27Z,0
microsoft/markitdown,173194,2026-07-29T18:18:09Z,13
521xueweihan/HelloGitHub,170394,2026-08-02T07:58:25Z,9
anthropics/skills,168180,2026-08-07T17:14:15Z,4
f/prompts.chat,167010,2026-08-11T03:35:52Z,0
firecrawl/firecrawl,165923,2026-08-11T22:04:10Z,0
AUTOMATIC1111/stable-diffusion-webui,164484,2026-03-02T07:00:53Z,162
huggingface/transformers,163834,2026-08-11T22:54:35Z,0
jlevy/the-art-of-command-line,162078,2024-06-25T18:13:44Z,777
Snailclimb/JavaGuide,157705,2026-08-08T06:58:19Z,3
langflow-ai/langflow,153071,2026-08-12T02:32:18Z,0
langgenius/dify,152134,2026-08-12T02:32:13Z,0
open-webui/open-webui,148516,2026-08-11T23:44:35Z,0
airbnb/javascript,148129,2026-04-16T19:24:09Z,117
Genymobile/scrcpy,147459,2026-07-12T18:16:07Z,30
langchain-ai/langchain,144014,2026-08-12T01:32:34Z,0
msitarzewski/agency-agents,143374,2026-08-06T13:29:47Z,5
x1xhlol/system-prompts-and-models-of-ai-tools,142740,2026-08-11T13:01:09Z,0
yangshun/tech-interview-handbook,141783,2026-08-07T12:06:42Z,4
vercel/next.js,141727,2026-08-12T00:43:20Z,0
anthropics/claude-code,141102,2026-08-11T19:50:58Z,0
ytdl-org/youtube-dl,140934,2026-02-19T16:45:25Z,173
