repository,stars,primary_language
codecrafters-io/build-your-own-x,538991,Markdown
sindresorhus/awesome,494835,N/A
public-apis/public-apis,455612,Python
freeCodeCamp/freeCodeCamp,453883,TypeScript
EbookFoundation/free-programming-books,394223,Python
openclaw/openclaw,386050,TypeScript
nilbuild/developer-roadmap,364223,TypeScript
donnemartin/system-design-primer,363379,Python
jwasham/coding-interview-university,358475,N/A
vinta/awesome-python,313547,Python
awesome-selfhosted/awesome-selfhosted,312185,N/A
practical-tutorials/project-based-learning,278777,Python
996icu/996.ICU,276621,N/A
obra/superpowers,271097,Shell
react/react,247192,JavaScript
torvalds/linux,242598,C
affaan-m/ECC,239645,JavaScript
trimstray/the-book-of-secret-knowledge,237956,N/A
NousResearch/hermes-agent,229382,Python
TheAlgorithms/Python,223673,Python
mattpocock/skills,214680,Shell
vuejs/vue,210233,TypeScript
ossu/computer-science,207914,HTML
multica-ai/andrej-karpathy-skills,201790,N/A
n8n-io/n8n,200349,TypeScript
tensorflow/tensorflow,196970,C++
anomalyco/opencode,196460,TypeScript
trekhleb/javascript-algorithms,196445,JavaScript
ultraworkers/claw-code,195060,Rust
DigitalPlatDev/FreeDomain,192418,Markdown
ohmyzsh/ohmyzsh,189133,Shell
microsoft/vscode,188630,TypeScript
massgravel/Microsoft-Activation-Scripts,186796,Batchfile
Significant-Gravitas/AutoGPT,186553,Python
jackfrued/Python-100-Days,185134,Jupyter Notebook
CyC2018/CS-Notes,185031,N/A
getify/You-Dont-Know-JS,184646,N/A
yt-dlp/yt-dlp,184042,Python
avelino/awesome-go,180869,Go
flutter/flutter,178355,Dart
ollama/ollama,178341,Go
github/gitignore,175259,N/A
twbs/bootstrap,174579,MDX
microsoft/markitdown,173327,Python
521xueweihan/HelloGitHub,170508,Python
anthropics/skills,168450,Python
f/prompts.chat,167048,HTML
firecrawl/firecrawl,166240,TypeScript
AUTOMATIC1111/stable-diffusion-webui,164495,Python
huggingface/transformers,163997,Python
jlevy/the-art-of-command-line,162090,N/A
Snailclimb/JavaGuide,157722,JavaScript
langflow-ai/langflow,153088,Python
langgenius/dify,152207,TypeScript
open-webui/open-webui,148582,Python
airbnb/javascript,148133,JavaScript
Genymobile/scrcpy,147497,C
msitarzewski/agency-agents,144307,Shell
langchain-ai/langchain,144075,Python
x1xhlol/system-prompts-and-models-of-ai-tools,142754,N/A
yangshun/tech-interview-handbook,141797,TypeScript
vercel/next.js,141740,JavaScript
anthropics/claude-code,141173,Python
ytdl-org/youtube-dl,140938,Python
microsoft/PowerToys,137685,C
clash-verge-rev/clash-verge-rev,137355,TypeScript
golang/go,135727,Go
iptv-org/iptv,135707,TypeScript
labuladong/fucking-algorithm,135318,Markdown
Shubhamsaboo/awesome-llm-apps,132280,Python
ripienaar/free-for-dev,131548,HTML
excalidraw/excalidraw,129416,TypeScript
krahets/hello-algo,129375,Java
Chalarangelo/30-seconds-of-code,128690,JavaScript
garrytan/gstack,127660,TypeScript
Comfy-Org/ComfyUI,127009,Python
farion1231/cc-switch,126659,Rust
github/spec-kit,126377,Python
react/react-native,126330,C++
kubernetes/kubernetes,124454,Go
ggml-org/llama.cpp,123635,C++
electron/electron,122468,C++
shadcn-ui/ui,121164,TypeScript
rustdesk/rustdesk,120203,Rust
nodejs/node,118894,JavaScript
justjavac/free-programming-books-zh_CN,118306,N/A
Hack-with-Github/Awesome-Hacking,118076,N/A
microsoft/generative-ai-for-beginners,117591,Jupyter Notebook
nextlevelbuilder/ui-ux-pro-max-skill,116006,Python
godotengine/godot,115603,C++
rust-lang/rust,115457,Rust
mrdoob/three.js,114465,JavaScript
2dust/v2rayN,113650,C#
d3/d3,113447,Shell
jaywcjlove/awesome-mac,110762,Swift
immich-app/immich,110282,TypeScript
microsoft/TypeScript,110161,TypeScript
tauri-apps/tauri,110147,Rust
axios/axios,109225,JavaScript
browser-use/browser-use,108922,Python
