repository,stars,issues_open,issues_closed,issues_closed_ratio
codecrafters-io/build-your-own-x,539003,265,677,0.719
sindresorhus/awesome,494840,16,352,0.957
public-apis/public-apis,455616,10,911,0.989
freeCodeCamp/freeCodeCamp,453884,172,21876,0.992
EbookFoundation/free-programming-books,394226,38,1254,0.971
openclaw/openclaw,386053,3420,43375,0.927
nilbuild/developer-roadmap,364227,1,3183,1.0
donnemartin/system-design-primer,363384,272,127,0.318
jwasham/coding-interview-university,358478,81,455,0.849
vinta/awesome-python,313554,0,0,N/A
awesome-selfhosted/awesome-selfhosted,312192,0,0,N/A
practical-tutorials/project-based-learning,278782,151,88,0.368
996icu/996.ICU,276621,0,0,N/A
obra/superpowers,271108,152,682,0.818
react/react,247193,814,13798,0.944
torvalds/linux,242600,0,0,N/A
affaan-m/ECC,239653,41,660,0.942
trimstray/the-book-of-secret-knowledge,237960,0,0,N/A
NousResearch/hermes-agent,229395,10473,10559,0.502
TheAlgorithms/Python,223674,143,1606,0.918
mattpocock/skills,214707,322,299,0.481
vuejs/vue,210232,365,9670,0.964
ossu/computer-science,207916,16,658,0.976
multica-ai/andrej-karpathy-skills,201795,0,0,N/A
n8n-io/n8n,200352,339,9627,0.966
tensorflow/tensorflow,196972,790,40888,0.981
anomalyco/opencode,196466,3847,19549,0.836
trekhleb/javascript-algorithms,196445,135,238,0.638
ultraworkers/claw-code,195062,16,2195,0.993
DigitalPlatDev/FreeDomain,192430,0,0,N/A
ohmyzsh/ohmyzsh,189134,150,4926,0.97
microsoft/vscode,188630,17376,233224,0.931
massgravel/Microsoft-Activation-Scripts,186800,5,1062,0.995
Significant-Gravitas/AutoGPT,186553,301,3637,0.924
jackfrued/Python-100-Days,185134,537,192,0.263
CyC2018/CS-Notes,185031,130,449,0.775
getify/You-Dont-Know-JS,184646,0,947,1.0
yt-dlp/yt-dlp,184048,1975,9914,0.834
avelino/awesome-go,180871,19,736,0.975
flutter/flutter,178355,12567,102552,0.891
ollama/ollama,178343,2377,8564,0.783
github/gitignore,175259,0,0,N/A
twbs/bootstrap,174579,106,22833,0.995
microsoft/markitdown,173330,382,181,0.321
521xueweihan/HelloGitHub,170511,586,2708,0.822
anthropics/skills,168453,312,48,0.133
f/prompts.chat,167049,20,152,0.884
firecrawl/firecrawl,166249,58,885,0.938
AUTOMATIC1111/stable-diffusion-webui,164495,2422,5491,0.694
huggingface/transformers,163998,894,18406,0.954
jlevy/the-art-of-command-line,162091,126,138,0.523
Snailclimb/JavaGuide,157723,57,1098,0.951
langflow-ai/langflow,153089,216,3199,0.937
langgenius/dify,152208,279,18313,0.985
open-webui/open-webui,148584,189,9137,0.98
airbnb/javascript,148133,100,1315,0.929
Genymobile/scrcpy,147498,2788,3356,0.546
msitarzewski/agency-agents,144318,54,87,0.617
langchain-ai/langchain,144076,345,9608,0.965
x1xhlol/system-prompts-and-models-of-ai-tools,142754,91,120,0.569
yangshun/tech-interview-handbook,141798,34,92,0.73
vercel/next.js,141740,2235,22910,0.911
anthropics/claude-code,141177,15105,68293,0.819
ytdl-org/youtube-dl,140940,3627,23204,0.865
microsoft/PowerToys,137686,7326,33714,0.821
clash-verge-rev/clash-verge-rev,137361,398,5386,0.931
golang/go,135728,9720,63077,0.866
iptv-org/iptv,135708,16,34136,1.0
labuladong/fucking-algorithm,135318,4,975,0.996
Shubhamsaboo/awesome-llm-apps,132283,4,167,0.977
ripienaar/free-for-dev,131550,0,0,N/A
excalidraw/excalidraw,129420,2258,2648,0.54
krahets/hello-algo,129374,13,278,0.955
Chalarangelo/30-seconds-of-code,128690,0,300,1.0
garrytan/gstack,127660,402,337,0.456
Comfy-Org/ComfyUI,127014,4062,5020,0.553
farion1231/cc-switch,126662,1416,3152,0.69
github/spec-kit,126383,153,1326,0.897
react/react-native,126330,677,27089,0.976
kubernetes/kubernetes,124455,1809,47699,0.963
ggml-org/llama.cpp,123639,696,8690,0.926
electron/electron,122468,680,21132,0.969
shadcn-ui/ui,121167,1062,3168,0.749
rustdesk/rustdesk,120205,78,4217,0.982
nodejs/node,118895,706,20044,0.966
justjavac/free-programming-books-zh_CN,118306,0,0,N/A
Hack-with-Github/Awesome-Hacking,118079,0,0,N/A
microsoft/generative-ai-for-beginners,117592,0,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,116013,38,134,0.779
godotengine/godot,115603,13371,49905,0.789
rust-lang/rust,115458,11422,52062,0.82
mrdoob/three.js,114465,245,13479,0.982
2dust/v2rayN,113653,24,7093,0.997
d3/d3,113447,6,2241,0.997
jaywcjlove/awesome-mac,110765,156,403,0.721
immich-app/immich,110284,479,8630,0.947
microsoft/TypeScript,110161,5055,38189,0.883
tauri-apps/tauri,110148,1282,5128,0.8
axios/axios,109225,48,5005,0.991
browser-use/browser-use,108923,97,1504,0.939
