repository,stars,created_at,age_days,age_years,total_accepted_pull_requests,total_releases,pushed_at,days_since_last_update,primary_language,issues_open,issues_closed,issues_closed_ratio
codecrafters-io/build-your-own-x,540722,2018-05-09T12:03:18Z,3023,8.28,157,0,2026-07-14T19:25:58Z,34,Markdown,270,677,0.715
sindresorhus/awesome,497209,2014-07-11T13:42:37Z,4420,12.1,700,0,2026-06-30T18:21:16Z,48,N/A,16,352,0.957
public-apis/public-apis,463751,2016-03-20T23:49:42Z,3802,10.41,2137,0,2026-08-17T21:04:12Z,0,Python,27,910,0.971
freeCodeCamp/freeCodeCamp,454238,2014-12-24T17:49:19Z,4254,11.65,29109,0,2026-08-18T08:13:30Z,0,TypeScript,164,21894,0.993
EbookFoundation/free-programming-books,394666,2013-10-11T06:50:37Z,4694,12.85,7422,0,2026-08-18T10:18:08Z,0,Python,38,1255,0.971
openclaw/openclaw,386624,2025-11-24T10:16:47Z,267,0.73,26034,234,2026-08-18T12:45:23Z,0,TypeScript,3471,43985,0.927
nilbuild/developer-roadmap,364808,2017-03-15T13:45:52Z,3442,9.42,4399,1,2026-08-18T11:56:04Z,0,TypeScript,0,3185,1.0
donnemartin/system-design-primer,364578,2017-02-26T16:15:28Z,3459,9.47,210,0,2026-03-20T01:52:19Z,151,Python,274,127,0.317
jwasham/coding-interview-university,359116,2016-06-06T02:34:12Z,3725,10.2,415,0,2025-08-28T14:42:47Z,354,N/A,81,455,0.849
vinta/awesome-python,314608,2014-06-27T21:00:06Z,4434,12.14,741,0,2026-08-16T13:31:43Z,1,Python,0,0,N/A
awesome-selfhosted/awesome-selfhosted,313412,2015-06-01T02:33:17Z,4096,11.21,0,1,2026-08-17T08:30:25Z,1,N/A,0,0,N/A
practical-tutorials/project-based-learning,279707,2017-04-12T05:07:46Z,3415,9.35,194,0,2026-08-17T06:46:47Z,1,Python,151,88,0.368
996icu/996.ICU,276689,2019-03-26T07:31:14Z,2702,7.4,1072,0,2025-08-22T06:01:29Z,361,N/A,0,0,N/A
obra/superpowers,273483,2025-10-09T19:45:18Z,312,0.85,167,12,2026-08-13T00:36:31Z,5,Shell,151,701,0.823
react/react,247403,2013-05-24T16:15:54Z,4833,13.23,13034,132,2026-08-17T11:16:23Z,1,JavaScript,817,13801,0.944
torvalds/linux,243152,2011-09-04T22:48:12Z,5461,14.95,0,0,2026-08-18T03:57:01Z,0,C,0,0,N/A
affaan-m/ECC,240830,2026-01-18T00:51:51Z,212,0.58,997,15,2026-08-17T04:55:56Z,1,JavaScript,42,667,0.941
trimstray/the-book-of-secret-knowledge,238954,2018-06-23T10:43:14Z,2978,8.15,122,0,2024-11-19T14:00:38Z,636,N/A,0,0,N/A
NousResearch/hermes-agent,232335,2025-07-22T22:22:28Z,391,1.07,11140,28,2026-08-18T11:22:47Z,0,Python,11076,11249,0.504
TheAlgorithms/Python,223830,2016-07-16T09:44:01Z,3685,10.09,3088,0,2026-08-03T18:44:56Z,14,Python,143,1606,0.918
mattpocock/skills,221019,2026-02-03T11:15:53Z,196,0.54,90,7,2026-08-17T07:54:42Z,1,Shell,357,304,0.46
vuejs/vue,210238,2013-07-29T03:24:51Z,4768,13.05,1136,249,2024-10-10T07:24:15Z,677,TypeScript,365,9670,0.964
ossu/computer-science,208112,2014-05-04T00:18:39Z,4489,12.29,315,0,2026-07-14T05:38:25Z,35,HTML,17,658,0.975
multica-ai/andrej-karpathy-skills,203527,2026-01-27T03:53:13Z,203,0.56,12,0,2026-04-20T10:05:04Z,120,N/A,0,0,N/A
n8n-io/n8n,201071,2019-06-22T09:24:21Z,2614,7.16,20088,764,2026-08-18T12:45:46Z,0,TypeScript,337,9689,0.966
anomalyco/opencode,198694,2025-04-30T20:08:00Z,474,1.3,7299,860,2026-08-18T12:30:14Z,0,TypeScript,3930,20051,0.836
tensorflow/tensorflow,197035,2015-11-07T01:19:20Z,3937,10.78,48928,222,2026-08-18T12:42:45Z,0,C++,774,40925,0.981
trekhleb/javascript-algorithms,196508,2018-03-24T07:47:04Z,3069,8.4,309,0,2026-07-26T02:43:08Z,23,JavaScript,135,238,0.638
ultraworkers/claw-code,195079,2026-03-31T08:58:08Z,140,0.38,143,0,2026-08-16T06:18:45Z,2,Rust,16,2195,0.993
DigitalPlatDev/FreeDomain,194085,2024-05-30T13:23:00Z,809,2.21,0,0,2026-08-12T10:36:46Z,6,Markdown,0,0,N/A
ohmyzsh/ohmyzsh,189238,2009-08-28T18:15:37Z,6198,16.97,3653,0,2026-08-17T21:45:08Z,0,Shell,154,4925,0.97
microsoft/vscode,188896,2015-09-03T20:23:38Z,4001,10.95,52079,233,2026-08-18T12:28:47Z,0,TypeScript,17542,233567,0.93
massgravel/Microsoft-Activation-Scripts,187421,2020-01-12T23:03:34Z,2409,6.6,7,31,2026-07-04T16:54:38Z,44,Batchfile,6,1067,0.994
Significant-Gravitas/AutoGPT,186665,2023-03-16T09:21:07Z,1251,3.43,4772,117,2026-08-18T11:59:22Z,0,Python,288,3651,0.927
CyC2018/CS-Notes,185424,2018-02-13T14:56:24Z,3107,8.51,374,0,2024-08-21T09:40:10Z,727,N/A,130,449,0.775
jackfrued/Python-100-Days,185320,2018-03-01T16:05:52Z,3091,8.46,13,0,2026-07-29T15:18:29Z,19,Jupyter Notebook,536,193,0.265
