repository,stars,forks,stars_to_forks_ratio,created_at,age_days,age_years,total_accepted_pull_requests,total_releases,pushed_at,days_since_last_update,primary_language,issues_open,issues_closed,issues_closed_ratio
codecrafters-io/build-your-own-x,543110,51216,10.6,2018-05-09T12:03:18Z,3031,8.3,157,0,2026-07-14T19:25:58Z,42,Markdown,275,677,0.711
sindresorhus/awesome,500095,36583,13.67,2014-07-11T13:42:37Z,4429,12.13,702,0,2026-08-21T12:39:13Z,5,N/A,16,352,0.957
public-apis/public-apis,470791,51915,9.07,2016-03-20T23:49:42Z,3810,10.43,2156,0,2026-08-26T10:11:55Z,0,Python,31,911,0.967
freeCodeCamp/freeCodeCamp,454624,46050,9.87,2014-12-24T17:49:19Z,4262,11.67,29200,0,2026-08-26T11:19:35Z,0,TypeScript,150,21958,0.993
EbookFoundation/free-programming-books,395255,66701,5.93,2013-10-11T06:50:37Z,4702,12.87,7424,0,2026-08-18T14:16:15Z,7,Python,40,1256,0.969
openclaw/openclaw,387693,81398,4.76,2025-11-24T10:16:47Z,275,0.75,28477,235,2026-08-26T13:48:07Z,0,TypeScript,3513,45247,0.928
donnemartin/system-design-primer,366143,58062,6.31,2017-02-26T16:15:28Z,3467,9.49,210,0,2026-03-20T01:52:19Z,159,Python,278,127,0.314
nilbuild/developer-roadmap,365449,44856,8.15,2017-03-15T13:45:52Z,3451,9.45,4401,1,2026-08-21T14:35:38Z,4,TypeScript,4,3185,0.999
jwasham/coding-interview-university,359763,84733,4.25,2016-06-06T02:34:12Z,3733,10.22,415,0,2025-08-28T14:42:47Z,362,N/A,81,455,0.849
vinta/awesome-python,316176,28572,11.07,2014-06-27T21:00:06Z,4442,12.16,744,0,2026-08-25T04:08:40Z,1,Python,0,0,N/A
awesome-selfhosted/awesome-selfhosted,315257,14818,21.28,2015-06-01T02:33:17Z,4104,11.24,0,1,2026-08-22T18:55:56Z,3,N/A,0,0,N/A
practical-tutorials/project-based-learning,280928,36022,7.8,2017-04-12T05:07:46Z,3423,9.37,194,0,2026-08-24T07:38:50Z,2,Python,152,89,0.369
obra/superpowers,277872,24869,11.17,2025-10-09T19:45:18Z,320,0.88,167,12,2026-08-19T17:33:23Z,6,Shell,111,755,0.872
996icu/996.ICU,276774,20747,13.34,2019-03-26T07:31:14Z,2710,7.42,1072,0,2025-08-22T06:01:29Z,369,N/A,0,0,N/A
react/react,247899,51254,4.84,2013-05-24T16:15:54Z,4841,13.25,13051,132,2026-08-26T12:16:45Z,0,JavaScript,829,13803,0.943
torvalds/linux,244450,64112,3.81,2011-09-04T22:48:12Z,5469,14.97,0,0,2026-08-25T21:32:30Z,0,C,0,0,N/A
affaan-m/ECC,243367,36812,6.61,2026-01-18T00:51:51Z,220,0.6,998,15,2026-08-25T21:27:27Z,0,JavaScript,52,668,0.928
trimstray/the-book-of-secret-knowledge,240443,14217,16.91,2018-06-23T10:43:14Z,2986,8.18,122,0,2024-11-19T14:00:38Z,644,N/A,0,0,N/A
mattpocock/skills,237536,20212,11.75,2026-02-03T11:15:53Z,204,0.56,95,7,2026-08-24T14:20:17Z,1,Shell,401,318,0.442
NousResearch/hermes-agent,236704,47844,4.95,2025-07-22T22:22:28Z,399,1.09,11867,29,2026-08-26T13:45:44Z,0,Python,12250,11838,0.491
