trial_id,kata,participante,tratamento,loc,lloc,sloc,comentarios,linhas_brancas,cc_media,cc_max,cc_total,n_funcoes,indice_manutenibilidade,duplicacao_pct
Joao_kata1_validador_cofre_com_ia,kata1_validador_cofre,Joao,com_ia,22,15,14,0,8,6.0,6,6,1,63.03,0.0
Joao_kata2_rota_entregador_sem_ia,kata2_rota_entregador,Joao,sem_ia,32,28,26,0,6,10.0,10,10,1,51.42,0.0
Joao_kata3_compressor_log_com_ia,kata3_compressor_log,Joao,com_ia,15,12,12,0,3,5.0,5,5,1,68.33,0.0
Joao_kata4_escalonador_plantao_sem_ia,kata4_escalonador_plantao,Joao,sem_ia,27,18,20,0,7,7.0,7,7,1,57.99,0.0
Lucas_kata1_validador_cofre_sem_ia,kata1_validador_cofre,Lucas,sem_ia,22,14,16,0,6,10.0,10,10,1,59.65,0.0
Lucas_kata2_rota_entregador_com_ia,kata2_rota_entregador,Lucas,com_ia,22,20,16,0,5,6.0,6,6,1,56.51,0.0
Lucas_kata3_compressor_log_sem_ia,kata3_compressor_log,Lucas,sem_ia,26,21,21,0,5,6.0,6,6,1,58.82,0.0
Lucas_kata4_escalonador_plantao_com_ia,kata4_escalonador_plantao,Lucas,com_ia,17,15,14,0,2,5.0,5,5,1,61.46,0.0
Vitor_kata1_validador_cofre_com_ia,kata1_validador_cofre,Vitor,com_ia,27,19,21,0,6,11.0,11,11,1,56.62,0.0
Vitor_kata2_rota_entregador_sem_ia,kata2_rota_entregador,Vitor,sem_ia,41,29,31,0,10,12.0,12,12,1,50.43,0.0
Vitor_kata3_compressor_log_sem_ia,kata3_compressor_log,Vitor,sem_ia,29,21,21,0,8,6.0,6,6,1,58.61,0.0
Vitor_kata4_escalonador_plantao_com_ia,kata4_escalonador_plantao,Vitor,com_ia,22,19,19,0,3,5.0,5,5,1,57.96,0.0
