metrica,tratamento,n,mediana,q1,q3,iqr,media,desvio_padrao,min,max
cc_media,sem_ia,6,8.5,6.25,10.0,3.75,8.5,2.51,6.0,12.0
cc_media,com_ia,6,6.0,5.25,6.0,0.75,6.167,1.472,5.0,9.0
cc_max,sem_ia,6,8.5,6.25,10.0,3.75,8.5,2.51,6.0,12.0
cc_max,com_ia,6,6.0,5.25,6.0,0.75,6.167,1.472,5.0,9.0
cc_total,sem_ia,6,8.5,6.25,10.0,3.75,8.5,2.51,6.0,12.0
cc_total,com_ia,6,6.0,5.25,6.0,0.75,6.167,1.472,5.0,9.0
sloc,sem_ia,6,21.0,20.25,24.75,4.5,22.5,5.244,16.0,31.0
sloc,com_ia,6,15.0,14.0,16.75,2.75,15.0,2.0,12.0,17.0
loc,sem_ia,6,28.0,26.25,31.25,5.0,30.0,7.616,22.0,44.0
loc,com_ia,6,22.0,18.25,30.25,12.0,24.5,9.094,15.0,38.0
indice_manutenibilidade,sem_ia,6,58.3,53.062,58.768,5.705,56.153,4.097,50.43,59.65
indice_manutenibilidade,com_ia,6,65.68,61.852,82.558,20.705,71.292,14.433,56.51,91.12
duplicacao_pct,sem_ia,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duplicacao_pct,com_ia,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
densidade_cc_sloc,sem_ia,6,0.367,0.302,0.386,0.085,0.386,0.125,0.286,0.625
densidade_cc_sloc,com_ia,6,0.396,0.362,0.426,0.064,0.41,0.066,0.353,0.529
densidade_cc_lloc,sem_ia,6,0.373,0.304,0.408,0.104,0.408,0.159,0.286,0.714
densidade_cc_lloc,com_ia,6,0.367,0.333,0.413,0.079,0.391,0.095,0.3,0.562
